id,x,y
"1",57.34254,-13.09052
"2",50.38313,-7.49708
"3",44.50465,-10.87684
"4",47.20697,-12.83509
"5",34.38759,0.29524
"6",26.05851,9.43872
"7",7.12004,10.20869
"8",7.99737,7.93948
"9",-4.57214,-0.04348
"10",-17.44705,-6.6179
"11",-26.06487,-8.85379
"12",-43.18206,-10.25308
"13",-48.81622,-9.4757
"14",-68.80231,-1.46312
"15",-70.62545,-12.7444
"16",-73.0779,-1.54827
"17",31.62444,6.23787
"18",33.079,1.00599
"19",-81.45695,-6.09594
"20",-81.27557,-7.67292
"21",24.83691,13.94567
"22",50.57192,-12.78882
"23",-69.73701,-1.79444
